"","start","Youngistaan.movie."
"1",2014-05-01,72
"2",2014-05-02,70
"3",2014-05-03,82
"4",2014-05-04,66
"5",2014-05-05,48
"6",2014-05-06,57
"7",2014-05-07,46
"8",2014-05-08,54
"9",2014-05-09,68
"10",2014-05-10,68
"11",2014-05-11,56
"12",2014-05-12,56
"13",2014-05-13,57
"14",2014-05-14,52
"15",2014-05-15,64
"16",2014-05-16,63
"17",2014-05-17,100
"18",2014-05-18,74
"19",2014-05-19,59
"20",2014-05-20,48
"21",2014-05-21,41
"22",2014-05-22,61
"23",2014-05-23,59
"24",2014-05-24,63
"25",2014-05-25,70
"26",2014-05-26,47
"27",2014-05-27,61
"28",2014-05-28,44
"29",2014-05-29,41
"30",2014-05-30,47
"31",2014-05-31,71
