"","start","Youngistaan.movie."
"1",2014-06-01,66
"2",2014-06-02,41
"3",2014-06-03,40
"4",2014-06-04,51
"5",2014-06-05,57
"6",2014-06-06,73
"7",2014-06-07,100
"8",2014-06-08,98
"9",2014-06-09,63
"10",2014-06-10,63
"11",2014-06-11,59
"12",2014-06-12,50
"13",2014-06-13,48
"14",2014-06-14,66
"15",2014-06-15,53
"16",2014-06-16,43
"17",2014-06-17,40
"18",2014-06-18,52
"19",2014-06-19,40
"20",2014-06-20,48
"21",2014-06-21,59
"22",2014-06-22,61
"23",2014-06-23,36
"24",2014-06-24,36
"25",2014-06-25,31
"26",2014-06-26,30
"27",2014-06-27,43
"28",2014-06-28,58
"29",2014-06-29,61
"30",2014-06-30,54
